category_id,club_id,start_date,end_date,nbr_participants
134,59,29/11/2019,8/12/2019,4
135,59,29/11/2019,8/12/2019,3
157,59,29/11/2019,8/12/2019,8
158,59,29/11/2019,8/12/2019,4
10,71,13/08/2020,23/08/2020,30
11,71,13/08/2020,23/08/2020,39
67,71,13/08/2020,23/08/2020,11
17,71,13/08/2020,23/08/2020,5
18,71,13/08/2020,23/08/2020,15
71,71,13/08/2020,23/08/2020,10
32,71,13/08/2020,23/08/2020,9
33,71,13/08/2020,23/08/2020,16
34,71,13/08/2020,23/08/2020,8
35,71,13/08/2020,23/08/2020,12
36,71,13/08/2020,23/08/2020,25
37,71,13/08/2020,23/08/2020,16
38,71,13/08/2020,23/08/2020,14
39,71,13/08/2020,23/08/2020,11
83,71,13/08/2020,23/08/2020,9
84,71,13/08/2020,23/08/2020,8
85,71,13/08/2020,23/08/2020,3
86,71,13/08/2020,23/08/2020,2
87,71,13/08/2020,23/08/2020,9
88,71,13/08/2020,23/08/2020,10
89,71,13/08/2020,23/08/2020,15
90,71,13/08/2020,23/08/2020,10
170,71,13/08/2020,23/08/2020,6
171,71,13/08/2020,23/08/2020,11
172,71,13/08/2020,23/08/2020,16
110,71,13/08/2020,23/08/2020,16
111,71,13/08/2020,23/08/2020,13
124,71,13/08/2020,23/08/2020,20
159,71,13/08/2020,23/08/2020,11
7,130,27/08/2020,6/9/2020,23
8,130,27/08/2020,6/9/2020,32
9,130,27/08/2020,6/9/2020,28
10,130,27/08/2020,6/9/2020,35
11,130,27/08/2020,6/9/2020,80
64,130,27/08/2020,6/9/2020,1
65,130,27/08/2020,6/9/2020,8
66,130,27/08/2020,6/9/2020,10
67,130,27/08/2020,6/9/2020,10
110,130,27/08/2020,6/9/2020,9
134,130,27/08/2020,6/9/2020,4
8,329,20/08/2020,30/08/2020,14
9,329,20/08/2020,30/08/2020,27
10,329,20/08/2020,30/08/2020,34
11,329,20/08/2020,30/08/2020,44
65,329,20/08/2020,30/08/2020,9
66,329,20/08/2020,30/08/2020,9
67,329,20/08/2020,30/08/2020,8
14,329,20/08/2020,30/08/2020,0
15,329,20/08/2020,30/08/2020,5
16,329,20/08/2020,30/08/2020,7
17,329,20/08/2020,30/08/2020,9
18,329,20/08/2020,30/08/2020,8
32,329,20/08/2020,30/08/2020,15
33,329,20/08/2020,30/08/2020,22
35,329,20/08/2020,30/08/2020,13
36,329,20/08/2020,30/08/2020,20
38,329,20/08/2020,30/08/2020,27
83,329,20/08/2020,30/08/2020,2
84,329,20/08/2020,30/08/2020,2
86,329,20/08/2020,30/08/2020,6
87,329,20/08/2020,30/08/2020,9
89,329,20/08/2020,30/08/2020,11
170,329,20/08/2020,30/08/2020,5
171,329,20/08/2020,30/08/2020,11
108,329,20/08/2020,30/08/2020,4
109,329,20/08/2020,30/08/2020,11
110,329,20/08/2020,30/08/2020,5
111,329,20/08/2020,30/08/2020,7
133,329,20/08/2020,30/08/2020,7
134,329,20/08/2020,30/08/2020,2
135,329,20/08/2020,30/08/2020,4
156,329,20/08/2020,30/08/2020,0
157,329,20/08/2020,30/08/2020,5
158,329,20/08/2020,30/08/2020,8
159,329,20/08/2020,30/08/2020,7
7,176,6/3/2020,15/03/2020,25
8,176,6/3/2020,15/03/2020,26
9,176,6/3/2020,15/03/2020,28
10,176,6/3/2020,15/03/2020,28
11,176,6/3/2020,15/03/2020,1
65,176,6/3/2020,15/03/2020,0
66,176,6/3/2020,15/03/2020,0
67,176,6/3/2020,15/03/2020,0
109,176,6/3/2020,15/03/2020,0
110,176,6/3/2020,15/03/2020,0
133,176,6/3/2020,15/03/2020,0
134,176,6/3/2020,15/03/2020,0
156,176,6/3/2020,15/03/2020,0
158,176,6/3/2020,15/03/2020,0
159,176,6/3/2020,15/03/2020,0
7,78,21/02/2020,1/3/2020,20
8,78,21/02/2020,1/3/2020,24
9,78,21/02/2020,1/3/2020,28
10,78,21/02/2020,1/3/2020,22
11,78,21/02/2020,1/3/2020,22
65,78,21/02/2020,1/3/2020,10
66,78,21/02/2020,1/3/2020,7
67,78,21/02/2020,1/3/2020,8
14,78,21/02/2020,1/3/2020,1
15,78,21/02/2020,1/3/2020,6
16,78,21/02/2020,1/3/2020,8
17,78,21/02/2020,1/3/2020,8
18,78,21/02/2020,1/3/2020,12
20,78,21/02/2020,1/3/2020,4
21,78,21/02/2020,1/3/2020,2
22,78,21/02/2020,1/3/2020,10
23,78,21/02/2020,1/3/2020,5
69,78,21/02/2020,1/3/2020,6
70,78,21/02/2020,1/3/2020,9
71,78,21/02/2020,1/3/2020,5
72,78,21/02/2020,1/3/2020,5
73,78,21/02/2020,1/3/2020,5
74,78,21/02/2020,1/3/2020,5
33,78,21/02/2020,1/3/2020,11
34,78,21/02/2020,1/3/2020,8
36,78,21/02/2020,1/3/2020,11
37,78,21/02/2020,1/3/2020,10
38,78,21/02/2020,1/3/2020,14
39,78,21/02/2020,1/3/2020,8
84,78,21/02/2020,1/3/2020,5
85,78,21/02/2020,1/3/2020,4
87,78,21/02/2020,1/3/2020,5
88,78,21/02/2020,1/3/2020,4
89,78,21/02/2020,1/3/2020,6
90,78,21/02/2020,1/3/2020,5
171,78,21/02/2020,1/3/2020,7
172,78,21/02/2020,1/3/2020,8
108,78,21/02/2020,1/3/2020,4
109,78,21/02/2020,1/3/2020,7
110,78,21/02/2020,1/3/2020,0
111,78,21/02/2020,1/3/2020,9
134,78,21/02/2020,1/3/2020,9
135,78,21/02/2020,1/3/2020,9
156,78,21/02/2020,1/3/2020,3
157,78,21/02/2020,1/3/2020,2
158,78,21/02/2020,1/3/2020,8
159,78,21/02/2020,1/3/2020,5
7,297,14/02/2020,23/02/2020,19
8,297,14/02/2020,23/02/2020,21
9,297,14/02/2020,23/02/2020,23
10,297,14/02/2020,23/02/2020,19
11,297,14/02/2020,23/02/2020,11
65,297,14/02/2020,23/02/2020,4
66,297,14/02/2020,23/02/2020,3
67,297,14/02/2020,23/02/2020,6
15,297,14/02/2020,23/02/2020,14
16,297,14/02/2020,23/02/2020,13
17,297,14/02/2020,23/02/2020,5
18,297,14/02/2020,23/02/2020,8
33,297,14/02/2020,23/02/2020,11
36,297,14/02/2020,23/02/2020,6
38,297,14/02/2020,23/02/2020,10
84,297,14/02/2020,23/02/2020,4
87,297,14/02/2020,23/02/2020,6
89,297,14/02/2020,23/02/2020,3
8,6,24/01/2020,2/2/2020,19
9,6,24/01/2020,2/2/2020,17
10,6,24/01/2020,2/2/2020,11
11,6,24/01/2020,2/2/2020,15
65,6,24/01/2020,2/2/2020,10
66,6,24/01/2020,2/2/2020,9
15,6,24/01/2020,2/2/2020,8
16,6,24/01/2020,2/2/2020,11
17,6,24/01/2020,2/2/2020,7
18,6,24/01/2020,2/2/2020,6
124,6,24/01/2020,2/2/2020,3
124,6,24/01/2020,2/2/2020,4
147,6,24/01/2020,2/2/2020,2
168,6,24/01/2020,2/2/2020,6
9,279,24/01/2020,2/2/2020,22
10,279,24/01/2020,2/2/2020,25
11,279,24/01/2020,2/2/2020,25
64,279,24/01/2020,2/2/2020,0
65,279,24/01/2020,2/2/2020,6
66,279,24/01/2020,2/2/2020,4
67,279,24/01/2020,2/2/2020,2
33,279,24/01/2020,2/2/2020,12
36,279,24/01/2020,2/2/2020,10
38,279,24/01/2020,2/2/2020,16
84,279,24/01/2020,2/2/2020,4
87,279,24/01/2020,2/2/2020,9
111,279,24/01/2020,2/2/2020,6
135,279,24/01/2020,2/2/2020,0
159,279,24/01/2020,2/2/2020,4
7,329,10/1/2020,19/01/2020,27
8,329,10/1/2020,19/01/2020,25
9,329,10/1/2020,19/01/2020,21
64,329,10/1/2020,19/01/2020,16
65,329,10/1/2020,19/01/2020,16
66,329,10/1/2020,19/01/2020,10
67,329,10/1/2020,19/01/2020,8
14,329,10/1/2020,19/01/2020,2
15,329,10/1/2020,19/01/2020,10
16,329,10/1/2020,19/01/2020,11
20,329,10/1/2020,19/01/2020,10
21,329,10/1/2020,19/01/2020,13
25,329,10/1/2020,19/01/2020,4
108,329,10/1/2020,19/01/2020,7
109,329,10/1/2020,19/01/2020,8
110,329,10/1/2020,19/01/2020,8
111,329,10/1/2020,19/01/2020,6
156,329,10/1/2020,19/01/2020,4
8,272,3/1/2020,12/1/2020,12
9,272,3/1/2020,12/1/2020,14
10,272,3/1/2020,12/1/2020,14
11,272,3/1/2020,12/1/2020,13
65,272,3/1/2020,12/1/2020,7
66,272,3/1/2020,12/1/2020,5
15,272,3/1/2020,12/1/2020,6
16,272,3/1/2020,12/1/2020,4
17,272,3/1/2020,12/1/2020,6
18,272,3/1/2020,12/1/2020,2
20,272,3/1/2020,12/1/2020,3
21,272,3/1/2020,12/1/2020,4
22,272,3/1/2020,12/1/2020,6
23,272,3/1/2020,12/1/2020,4
74,272,3/1/2020,12/1/2020,4
39,272,3/1/2020,12/1/2020,5
90,272,3/1/2020,12/1/2020,1
108,272,3/1/2020,12/1/2020,7
109,272,3/1/2020,12/1/2020,8
110,272,3/1/2020,12/1/2020,8
