tournament_id,date,status,round
1385,21/08/2020,completed,1_64
1443,28/12/2019,completed,1_2
1431,27/12/2019,completed,1_8
1385,,WO,1_32
1452,12/9/2020,completed,1_16
1485,15/08/2020,completed,1_16
1524,7/8/2020,completed,1_32
1588,30/07/2020,completed,1_16
1622,27/07/2020,completed,1_16
1678,12/7/2020,completed,1_8
1709,11/7/2020,completed,1_32
1737,4/7/2020,completed,1_16
1803,24/07/2020,completed,1_4
1803,20/07/2020,completed,1_8
1803,18/07/2020,completed,1_16
1829,13/09/2020,retirement,final
1829,9/9/2020,completed,1_2
1829,6/9/2020,completed,1_4
1870,,WO,1_4
1827,,WO,1_4
1865,,WO,1_2
1880,21/07/2020,completed,1_8
1880,19/07/2020,completed,1_16
1709,10/7/2020,completed,1_32
1587,9/8/2020,completed,1_4
1587,7/8/2020,completed,1_16
1587,2/8/2020,completed,1_32
1587,1/8/2020,completed,1_64
1928,12/7/2020,completed,final
1928,11/7/2020,completed,1_2
1928,6/7/2020,completed,1_8
1966,29/12/2019,completed,1_32
1966,28/12/2019,completed,1_64
1928,,WO,1_4
1851,,WO,1_16
1587,,WO,1_8
1997,,WO,1_64
1386,23/08/2020,retirement,1_32
2007,28/02/2020,completed,1_4
2007,27/02/2020,completed,1_8
2007,24/02/2020,completed,1_16
2053,25/07/2020,completed,1_16
2092,18/07/2020,completed,1_16
2123,13/07/2020,completed,1_16
2145,10/7/2020,completed,1_32
2145,,WO,1_16
2122,12/7/2020,completed,1_16
2122,11/7/2020,completed,1_32
2159,26/12/2019,completed,1_8
2159,22/12/2019,completed,1_16
2206,14/08/2020,completed,1_4
2244,,WO,1_8
2270,18/08/2020,completed,1_16
1586,5/8/2020,completed,1_16
2324,19/07/2020,completed,final
2324,18/07/2020,completed,1_2
2324,17/07/2020,completed,1_4
2324,15/07/2020,completed,1_8
2332,28/02/2020,completed,1_4
2332,,WO,1_16
2332,,WO,1_8
2342,29/08/2020,completed,1_32
1387,25/08/2020,completed,1_16
1622,31/07/2020,completed,1_4
1622,30/07/2020,completed,1_8
2145,14/07/2020,completed,1_8
2145,13/07/2020,completed,1_16
1622,,WO,1_16
2379,12/8/2020,completed,1_4
1534,11/8/2020,completed,1_8
2379,10/8/2020,retirement,1_8
1534,9/8/2020,completed,1_16
2379,8/8/2020,completed,1_16
1386,25/08/2020,completed,1_16
1386,23/08/2020,completed,1_32
1386,21/08/2020,completed,1_64
2428,15/08/2020,completed,1_2
2428,13/08/2020,completed,1_4
2428,11/8/2020,completed,1_8
2428,9/8/2020,completed,1_16
2321,17/07/2020,completed,1_4
2321,16/07/2020,completed,1_8
2321,13/07/2020,completed,1_16
2477,6/7/2020,completed,1_8
